"County","Location","Date","Time","DeathsDirect","InjuriesDirect","PropertyDamage","CropDamage","Source","Lat","Long","InjuriesIndirect","DeathsIndirect"
"MIAMI-DADE CO.","BISCAYNE GARDENS",6/8/2014,"1220",0,0,50000,0,"Broadcast Media",25.9313,-80.1905,0,0
"LEON CO.","KLEMAN PLAZA",6/8/2014,"1529",0,0,75000,0,"County Official",30.4304,-84.276,0,0
"ALACHUA CO.","NEWBERRY",6/8/2014,"1917",0,0,0,0,"Broadcast Media",29.6792,-82.6028,1,0
"HILLSBOROUGH CO.","CARROLLWOOD",6/9/2014,"1423",0,0,800000,0,"Fire Department/Rescue",28.0325,-82.4976,0,0
"SANTA ROSA CO.","ALLENTOWN",6/13/2014,"0940",1,0,0,0,"Emergency Manager",30.77,-87.05,0,0
"SUMTER CO.","BAMBOO",6/15/2014,"1730",0,0,400000,0,"Newspaper",28.8584,-82.0074,0,0
"BROWARD CO.","(FLL)FT LAUDRDL INTL",6/19/2014,"1605",0,1,0,0,"Broadcast Media",26.07,-80.15,1,0
"BROWARD CO.","LAUDERDALE LAKES",7/4/2014,"1335",0,1,0,0,"Broadcast Media",26.1518,-80.2914,0,0
"PINELLAS CO.","BRIDGEPORT",7/4/2014,"1956",0,0,200000,0,"Emergency Manager",28.037,-82.6836,0,0
"BROWARD CO.","MIRAMAR",7/6/2014,"1000",0,0,0,0,"Broadcast Media",26.0308,-80.3456,1,0
"BROWARD CO.","DAVIE",7/8/2014,"1210",0,1,0,0,"Broadcast Media",26.0562,-80.2747,0,0
"PALM BEACH CO.","BOCA RATON",7/9/2014,"1330",0,0,100000,0,"Broadcast Media",26.3563,-80.1078,0,0
"PALM BEACH CO.","PALM BEACH GARDENS",7/9/2014,"1330",0,0,20000,0,"Broadcast Media",26.7783,-80.073,0,0
"FLAGLER CO.","PALM COAST",7/9/2014,"1350",0,0,2000,0,"Emergency Manager",29.57,-81.21,0,0
"DUVAL CO.","GOODBYS",7/11/2014,"1930",0,0,5000,0,"Broadcast Media",30.2,-81.63,0,0
"COLLIER CO.","EAST NAPLES",7/15/2014,"1020",0,0,5000,0,"Broadcast Media",26.1002,-81.7689,0,0
"PINELLAS CO.","BELMONT",7/15/2014,"2345",0,0,25000,0,"Broadcast Media",27.944,-82.777,0,0
"PASCO CO.","HOLIDAY",7/16/2014,"0914",0,0,100000,0,"Broadcast Media",28.2,-82.73,0,0
"HILLSBOROUGH CO.","MACDILL AIR FORCE BASE",7/16/2014,"0930",0,1,0,0,"Other Federal Agency",27.8521,-82.5095,0,0
"HILLSBOROUGH CO.","NOWATNEY",7/16/2014,"0945",0,0,100000,0,"Fire Department/Rescue",28.061,-82.434,0,0
"PALM BEACH CO.","BOCA RATON",7/16/2014,"1410",0,1,0,0,"Broadcast Media",26.3652,-80.2153,0,0
"BREVARD CO.","PLAYALINDA BEACH",7/16/2014,"1530",0,0,30000,0,"Newspaper",28.5549,-80.7966,0,0
"SARASOTA CO.","SOUTH SARASOTA",7/16/2014,"1600",1,0,0,0,"Newspaper",27.267,-82.522,0,0
"FLAGLER CO.","INDIAN TRAILS",7/20/2014,"1130",0,1,0,0,"Newspaper",29.56,-81.24,0,0
"HILLSBOROUGH CO.","BLOOMINGDALE",7/21/2014,"1608",0,0,250,0,"NWS Employee",27.87,-82.26,0,0
"LEE CO.","FT MYERS BEACH",7/22/2014,"1310",1,2,0,0,"Law Enforcement",26.45,-81.95,0,0
"BROWARD CO.","POMPANO BEACH HIGHLN",7/23/2014,"1230",0,1,0,0,"Broadcast Media",26.3194,-80.1261,0,0
"PINELLAS CO.","CLEARWATER BEACH",7/24/2014,"1024",0,1,0,0,"Broadcast Media",27.96,-82.83,0,0
"PALM BEACH CO.","DELRAY BEACH",7/26/2014,"1045",0,1,0,0,"Newspaper",26.4226,-80.101,0,0
"PALM BEACH CO.","WESTGATE",7/27/2014,"1725",0,1,0,0,"Broadcast Media",26.6915,-80.0915,0,0
"JACKSON CO.","GRAND RIDGE",7/28/2014,"1820",0,1,10000,0,"911 Call Center",30.6598,-85.0433,0,0
"PINELLAS CO.","GULFPORT",8/3/2014,"1320",0,1,0,0,"State Official",27.76,-82.71,0,0
"SANTA ROSA CO.","MILTON",8/12/2014,"1528",0,1,0,0,"911 Call Center",30.6505,-87.0538,0,0
"BROWARD CO.","OAKLAND PARK",8/15/2014,"1255",0,1,0,0,"Broadcast Media",26.1891,-80.123,0,0
"LEVY CO.","CHIEFLAND",8/31/2014,"1950",0,1,0,0,"Fire Department/Rescue",29.48,-82.86,0,0
"DUVAL CO.","BAYARD",9/2/2014,"1330",0,0,2000,0,"Broadcast Media",30.14,-81.53,0,0
"PINELLAS CO.","KENNETH CITY",9/3/2014,"1958",0,0,20000,0,"Emergency Manager",27.809,-82.702,0,0
"PINELLAS CO.","PALM HARBOR",9/6/2014,"1200",0,0,50000,0,"Broadcast Media",28.0572,-82.7455,0,0
"BROWARD CO.","DAVIE",9/6/2014,"1300",0,1,0,0,"Broadcast Media",26.05,-80.3,0,0
"SANTA ROSA CO.","GULF BREEZE",9/8/2014,"1228",0,0,10000,0,"Emergency Manager",30.35,-87.15,0,0
"DUVAL CO.","JACKSONVILLE BEACH",9/16/2014,"1315",0,0,5000,0,"Emergency Manager",30.2294,-81.3841,0,0
"MIAMI-DADE CO.","COCONUT GROVE",9/23/2014,"0645",0,1,0,0,"Broadcast Media",25.7276,-80.2742,0,0
"PINELLAS CO.","CLEARWATER EXEC ARPT",9/28/2014,"1800",0,0,1000,0,"County Official",27.96,-82.77,0,0
"DUVAL CO.","DINSMORE",10/14/2014,"1445",0,0,2000,0,"Emergency Manager",30.45,-81.76,0,0
"PINELLAS CO.","OZONA",10/14/2014,"1600",0,0,2000,0,"Emergency Manager",28.049,-82.7754,0,0
"HILLSBOROUGH CO.","(TPA)TAMPA INTL ARPT",12/21/2014,"1610",0,11,1000,0,"Emergency Manager",27.9722,-82.5033,0,0
"BROWARD CO.","MARGATE",2/5/2015,"0930",0,1,0,0,"Newspaper",26.2282,-80.2048,0,0
"HILLSBOROUGH CO.","EDISON",3/26/2015,"2300",0,0,40000,0,"Fire Department/Rescue",27.878,-82.056,0,0
"BAKER CO.","MACCLENNY",4/13/2015,"1500",0,2,0,0,"Emergency Manager",30.27,-82.12,0,0
"SANTA ROSA CO.","GULF BREEZE",4/14/2015,"1631",0,0,5000,0,"Emergency Manager",30.3722,-87.088,0,0
"SANTA ROSA CO.","BAGDAD",4/19/2015,"0900",0,0,25000,0,"Emergency Manager",30.6277,-86.9523,0,0
"LEE CO.","BONITA SPGS",5/13/2015,"1400",1,1,0,0,"Broadcast Media",26.3516,-81.7612,0,0
"HILLSBOROUGH CO.","GOLDSTEIN",5/23/2015,"1600",0,0,20000,0,"Newspaper",28.0414,-82.5197,0,0
"BAY CO.","SPRINGFIELD",5/28/2015,"1215",0,0,2000,0,"911 Call Center",30.16,-85.6,0,0
"POLK CO.","POLK CITY",6/1/2015,"1700",0,1,10000,0,"Broadcast Media",28.1573,-81.813,0,0
"VOLUSIA CO.","BLAKE",6/9/2015,"1200",0,1,0,0,"Newspaper",29.17,-80.98,0,0
"PASCO CO.","ELFERS",6/15/2015,"1755",0,0,1000,0,"Broadcast Media",28.217,-82.7373,0,0
"PINELLAS CO.","BELMONT",6/19/2015,"1030",1,0,0,0,"Emergency Manager",27.93,-82.75,0,0
"DUVAL CO.","(CRG)CRAIG FLD JACKS",6/21/2015,"1455",0,0,50000,0,"Fire Department/Rescue",30.34,-81.49,0,0
"PINELLAS CO.","BELLEAIR BEACH",6/22/2015,"0655",0,0,25000,0,"Broadcast Media",27.9115,-82.746,0,0
"COLUMBIA CO.","LAKE CITY",6/22/2015,"1420",0,0,10000,0,"Emergency Manager",30.19,-82.65,0,0
"COLLIER CO.","NAPLES",6/22/2015,"1700",0,0,2000000,0,"Fire Department/Rescue",26.1254,-81.795,1,0
"SUWANNEE CO.","LIVE OAK SUWANE ARPT",6/22/2015,"1714",0,0,103900,0,"Emergency Manager",30.3074,-83.0115,0,0
"MARION CO.","FAIRFIELD",6/23/2015,"1430",0,0,5000,0,"Broadcast Media",29.38,-82.24,0,0
"PINELLAS CO.","(PIE)ST PETE/CLRWATE",6/24/2015,"1233",0,0,5000,0,"Fire Department/Rescue",27.8851,-82.6579,0,0
"MARION CO.","LOWELL",6/24/2015,"1333",0,0,5000,0,"Emergency Manager",29.32,-82.21,0,0
"SANTA ROSA CO.","PENSACOLA SHRS",6/24/2015,"0530",0,0,10000,0,"911 Call Center",30.36,-87.2,0,0
"FLAGLER CO.","PALM COAST TOWN CENTER",6/25/2015,"1432",0,0,5000,0,"Trained Spotter",29.51,-81.22,0,0
"VOLUSIA CO.","HARBOR PT",6/26/2015,"1525",1,0,0,0,"Broadcast Media",29.0655,-81.029,0,0
"ST. JOHNS CO.","SUMMER HAVEN",6/27/2015,"1639",0,0,0,0,"Fire Department/Rescue",29.73,-81.24,0,0
"SANTA ROSA CO.","COBBTOWN",6/27/2015,"1545",0,0,10000,0,"911 Call Center",30.83,-87.11,1,0
"PALM BEACH CO.","BOCA RATON",6/28/2015,"1410",0,0,1000,0,"Newspaper",26.3933,-80.1874,0,0
"COLLIER CO.","NAPLES PARK",7/1/2015,"1800",0,0,2000,0,"Broadcast Media",26.2923,-81.7248,0,0
"COLLIER CO.","NORTH NAPLES",7/1/2015,"1830",0,0,10000,0,"Broadcast Media",26.2161,-81.7676,0,0
"FLAGLER CO.","HAMMOCK",7/2/2015,"1350",0,0,100,0,"Emergency Manager",29.6,-81.18,0,0
"PINELLAS CO.","CLEARWATER",7/3/2015,"1329",0,0,0,500,"Emergency Manager",27.98,-82.74,0,0
"PINELLAS CO.","GULFPORT",7/5/2015,"1947",0,0,1000,0,"911 Call Center",27.7483,-82.7288,0,0
"ST. JOHNS CO.","BYRD",7/11/2015,"1501",0,0,500,0,"Emergency Manager",29.69,-81.48,0,0
"ST. JOHNS CO.","SAMPSON CHURCH",7/11/2015,"1511",0,0,2000,0,"Emergency Manager",30.05,-81.5,0,0
"MANATEE CO.","LAKEWOOD RANCH",7/12/2015,"0730",0,0,100000,0,"Broadcast Media",27.4245,-82.4012,0,0
"CITRUS CO.","INVERNESS",7/13/2015,"1400",0,0,75000,0,"Emergency Manager",28.8389,-82.3392,0,0
"DUVAL CO.","BALDWIN",7/16/2015,"1235",0,1,0,0,"Emergency Manager",30.29,-81.98,0,0
"DUVAL CO.","CEDAR HILLS",7/16/2015,"1255",0,1,0,0,"Emergency Manager",30.29,-81.74,0,0
"PINELLAS CO.","BASKIN",7/17/2015,"1029",0,0,5000,0,"Fire Department/Rescue",27.888,-82.8169,0,0
"SANTA ROSA CO.","NAVARRE",7/19/2015,"1335",0,0,100000,0,"911 Call Center",30.4,-86.87,0,0
"DUVAL CO.","ATLANTIC BEACH",7/21/2015,"1545",0,2,0,0,"Emergency Manager",30.32,-81.4,0,0
"DUVAL CO.","DONNER",7/21/2015,"1545",0,0,10000,0,"Emergency Manager",30.34,-81.42,0,0
"BREVARD CO.","BONAVENTURE",7/22/2015,"1435",0,0,500000,0,"Newspaper",28.2723,-80.7492,0,0
"MIAMI-DADE CO.","SUNNY IS",7/22/2015,"1515",0,3,0,0,"Broadcast Media",25.91,-80.12,0,0
"DUVAL CO.","SAN PABLO",7/22/2015,"1530",0,0,10000,0,"Emergency Manager",30.3,-81.45,0,0
"ST. JOHNS CO.","VILANO BEACH",7/22/2015,"1610",0,0,10000,0,"State Official",29.94,-81.3,0,0
"JACKSON CO.","GRACEVILLE",7/22/2015,"1720",0,0,10000,0,"911 Call Center",30.95,-85.51,0,0
"SANTA ROSA CO.","NAVARRE",7/24/2015,"1635",0,0,50000,0,"911 Call Center",30.4,-86.87,0,0
"PINELLAS CO.","ULMERTON",7/29/2015,"1300",0,0,25000,0,"Emergency Manager",27.8554,-82.7859,0,0
"ORANGE CO.","EDGEWOOD",7/29/2015,"1600",0,2,0,0,"Broadcast Media",28.5,-81.37,0,0
"BROWARD CO.","HOLLYWOOD N PERRY AR",7/31/2015,"1330",0,0,500,0,"Broadcast Media",26.0155,-80.261,0,0
"MIAMI-DADE CO.","KENDALL",7/31/2015,"1430",0,0,1000,0,"NWS Employee",25.6875,-80.3202,0,0
"MIAMI-DADE CO.","WESTWOOD LAKES",8/8/2015,"1515",0,0,30000,0,"Public",25.7362,-80.3953,0,0
"MIAMI-DADE CO.","GOLDEN BEACH",8/8/2015,"1600",1,2,0,0,"Broadcast Media",25.97,-80.15,0,0
"OKALOOSA CO.","EGLIN VLG",8/12/2015,"1700",0,20,0,0,"Broadcast Media",30.46,-86.55,0,0
"LEON CO.","GOVERNORS SQUARE MALL",8/14/2015,"1515",0,0,3000,0,"911 Call Center",30.43,-84.25,0,0
"COLLIER CO.","EAST NAPLES",8/15/2015,"1400",0,1,0,0,"Broadcast Media",26.093,-81.799,0,0
"CITRUS CO.","LANDRUM",8/16/2015,"1700",0,0,173000,0,"Newspaper",28.9373,-82.3964,0,0
"PASCO CO.","LAND O LAKES",8/16/2015,"2000",0,0,350000,0,"Broadcast Media",28.2103,-82.4284,0,0
"DUVAL CO.","CENTER PARK",8/19/2015,"1534",0,0,500,0,"Emergency Manager",30.29,-81.49,0,0
"ORANGE CO.","CONWAY",8/20/2015,"1400",0,1,0,0,"Broadcast Media",28.5055,-81.2705,0,0
"DUVAL CO.","WESCONNETT",8/20/2015,"1623",1,0,0,0,"Broadcast Media",30.2296,-81.7478,0,0
"DUVAL CO.","HOGAN",8/20/2015,"1713",0,0,3000,0,"Emergency Manager",30.24,-81.56,0,0
"CITRUS CO.","ARLINGTON",8/22/2015,"1545",0,0,126000,0,"Broadcast Media",28.87,-82.41,0,0
"POLK CO.","MULBERRY",8/26/2015,"1600",0,0,750000,0,"Broadcast Media",27.9,-81.97,0,0
"DUVAL CO.","ENGLEWOOD",9/2/2015,"1330",0,0,2000,0,"Emergency Manager",30.39,-81.71,0,0
"WASHINGTON CO.","CHIPLEY",9/3/2015,"1815",0,0,2000,0,"Utility Company",30.78,-85.54,0,0
"ORANGE CO.","BEULAH",9/4/2015,"1510",0,0,250000,0,"Broadcast Media",28.53,-81.57,0,0
"MIAMI-DADE CO.","SWEET WATER",9/4/2015,"1530",0,0,10000,0,"Broadcast Media",25.765,-80.375,0,0
"MIAMI-DADE CO.","WESTWOOD LAKES",9/4/2015,"1600",0,0,10000,0,"Broadcast Media",25.751,-80.41,0,0
"BROWARD CO.","PEMBROKE PINES",9/4/2015,"1630",0,0,5000,0,"Broadcast Media",26.062,-80.164,0,0
"BROWARD CO.","HOLLYWOOD N PERRY AR",9/5/2015,"1310",0,0,5000,0,"Broadcast Media",25.997,-80.21,0,0
"PALM BEACH CO.","WESTGATE",9/8/2015,"0920",0,1,0,0,"Broadcast Media",26.6846,-80.09,0,0
"PALM BEACH CO.","WELLINGTON",9/10/2015,"1330",0,0,1000,0,"Fire Department/Rescue",26.6681,-80.2027,0,0
"PALM BEACH CO.","JUPITER",9/11/2015,"1330",0,0,500,0,"Newspaper",26.9442,-80.1304,0,0
"MARTIN CO.","HOBE SOUND",9/16/2015,"0900",0,2,0,0,"Broadcast Media",27.0578,-80.1273,0,0
"MIAMI-DADE CO.","MIAMI",9/18/2015,"1735",0,0,5000,0,"Broadcast Media",25.7855,-80.2229,0,0
"WALTON CO.","DOUGLAS CROSSROADS",12/22/2015,"0250",0,0,3000,0,"Utility Company",30.66,-86,0,0
